Unnamed: 0,Artist,Url_spotify,Track,Album,Album_type,Uri,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Url_youtube,Title,Channel,Views,Likes,Comments,Description,Licensed,official_video,Stream,spotify_track_id,release_date_raw,release_date
19001,Bazzi,https://open.spotify.com/artist/4GvEc3ANtPPjt1ZJllr5Zl,Paradise,Soul Searching,album,spotify:track:0Rx0DJI556Ix5gBny6EWmn,0.844,0.644,11,-6.273,0.0479,0.0828,0.0,0.113,0.591,122.061,169038,https://www.youtube.com/watch?v=x90WLRa5uGo,Bazzi - Paradise [Official Music Video],Bazzi,34823748.0,457464.0,6463.0,"I’m bringing the dream to you on tour😭I absolutely can’t wait to put this show on for you all - get ready for something special♾✨ ‘Infinite Dream’ out now!
https://bazzi.lnk.to/InfiniteDreamID
Download/Stream ""Young & Alive"": https://Bazzi.lnk.to/YoungAliveID

Stream / download PARADISE: https://bazzi.lnk.to/PARADISE
Stream / download SOUL SEARCHING: https://Bazzi.lnk.to/SoulSearchingID

Subscribe for more official content from Bazzi: https://Bazzi.lnk.to/Subscribe

Follow Bazzi
https://instagram.com/bazzi
https://www.tiktok.com/@bazziofficial?lang=en
https://twitter.com/bazzi
https://facebook.com/BazziWorldwide
https://soundcloud.com/bazziworldwide
http://bazziofficial.com

#Paradise #SoulSearching",True,True,515623742.0,0Rx0DJI556Ix5gBny6EWmn,2019-08-09,2019-08-09
19002,Bazzi,https://open.spotify.com/artist/4GvEc3ANtPPjt1ZJllr5Zl,Beautiful (feat. Camila Cabello),Beautiful (feat. Camila Cabello),single,spotify:track:4VUwkH455At9kENOfzTqmF,0.638,0.717,2,-4.722,0.0337,0.346,0.0,0.105,0.249,100.027,180000,https://www.youtube.com/watch?v=Uk1hv6h7O1Y,Bazzi feat. Camila Cabello - Beautiful [Official Music Video],Bazzi,199467012.0,2114050.0,40479.0,"I’m bringing the dream to you on tour😭I absolutely can’t wait to put this show on for you all - get ready for something special♾✨ ‘Infinite Dream’ out now!
https://bazzi.lnk.to/InfiniteDreamID
Download/Stream ""Young & Alive"": https://Bazzi.lnk.to/YoungAliveID

Download / stream BEAUTIFUL: https://Bazzi.lnk.to/BeautifulxCamilaAY 
COSMIC: https://Bazzi.lnk.to/COSMICAY

Directed by Jason Koenig https://www.instagram.com/jkoephoto/ 

Subscribe for more official content from Bazzi: https://Bazzi.lnk.to/Subscribe

Follow Bazzi
https://instagram.com/bazzi
https://www.tiktok.com/@bazziofficial?lang=en
https://twitter.com/bazzi
https://facebook.com/BazziWorldwide
https://soundcloud.com/bazziworldwide
http://bazziofficial.com

The official YouTube channel of Atlantic Records artist Bazzi. Subscribe for the latest music videos, performances, and more.",True,True,662284883.0,4VUwkH455At9kENOfzTqmF,2018-08-02,2018-08-02
19003,Bazzi,https://open.spotify.com/artist/4GvEc3ANtPPjt1ZJllr5Zl,Why,COSMIC,album,spotify:track:7lozLnUfzcgEpMMVQI7yhA,0.676,0.67,8,-6.584,0.0374,0.353,0.0,0.103,0.54,113.01,148260,https://www.youtube.com/watch?v=lwop_SAaXmM,Bazzi - Why? [Official Audio],Bazzi,61606107.0,790683.0,11309.0,"I’m bringing the dream to you on tour😭I absolutely can’t wait to put this show on for you all - get ready for something special♾✨ ‘Infinite Dream’ out now!
https://bazzi.lnk.to/InfiniteDreamID
Download/Stream ""Young & Alive"": https://Bazzi.lnk.to/YoungAliveID

Stream + download COSMIC: https://Bazzi.lnk.to/COSMIC

Subscribe to my channel: https://goo.gl/C6KC1m

Follow Bazzi
https://instagram.com/bazzi
https://www.tiktok.com/@bazziofficial?lang=en
https://twitter.com/bazzi
https://facebook.com/BazziWorldwide
https://soundcloud.com/bazziworldwide
http://bazziofficial.com",True,True,270004806.0,7lozLnUfzcgEpMMVQI7yhA,2018-04-12,2018-04-12
19004,Bazzi,https://open.spotify.com/artist/4GvEc3ANtPPjt1ZJllr5Zl,I Like That,Infinite Dream,album,spotify:track:0kWQn0wLok1lawHAkGSMW9,0.665,0.692,6,-5.431,0.112,0.172,0.0,0.191,0.68,74.474,158084,https://www.youtube.com/watch?v=r_eXHv01RAw,Bazzi - I Like That [Official Music Video],Bazzi,4467160.0,75705.0,1805.0,"I’m bringing the dream to you on tour😭I absolutely can’t wait to put this show on for you all - get ready for something special♾✨ ‘Infinite Dream’ out now! 
https://bazzi.lnk.to/InfiniteDreamID

Download/Stream ""I Like That"": https://Bazzi.lnk.to/ILikeThatID

Subscribe for more official content from Bazzi: https://Bazzi.lnk.to/Subscribe

Follow Bazzi
https://instagram.com/bazzi
https://www.tiktok.com/@bazziofficial?lang=en
https://twitter.com/bazzi
https://facebook.com/BazziWorldwide
https://soundcloud.com/bazziworldwide
http://bazziofficial.com

Lyrics: 
Twisted
Baby Im a goner
Im a monster
Don’t listen to a word I say
Cuz I say things that I don’t mean
When the liquor speaks
Don’t wanna break your pretty heart cuz

Oooh
I love to lay When laying is next to you
I feel alive wit shawty by my side
Lets dance

I Like That
(yea)
I Like That
(yea)
I Like That
Angel running fingers through my hair
I Like That
(yea)
I Like that
(yea)
I Like That
The way we touching got you singing yea
You Like That
(yea)
You Like That
(yea)
You Like That
Oh Oh Oh!
I love to lay when laying is next to.

One good night is worth a thousand words
(a thousand words)
One good girl is worth a thousand birds
(a thousand birds)
Lets travel the world and make a thousand firsts
(a thousand firsts)
The way you moving got me at a loss for words
Yea

Take you out in public you a masterpiece
(masterpiece)
The way your looking all my exes mad at me
(exes mad at me)
Lets open our eyes cuz theres a lot to see
(theres a lot to see)
I wanna live my life cuz theres a lot to see
Lets go to Paris
Lets get a jet plane
Lets live our own life
Fuck what your friends say
Smoke marijuana
Do a little cocaine
Pull a 45 out
Shoot it into the rain
Oooh
I love to lay lay this next to you
I feel alive wit shawty by my side
Lets dance

I Like That
(yea)
I Like That
(yea)
I Like That
Angel running fingers through my hair
I Like That
(yea)
I Like that
(yea)
The way we touching got you singing yea
You Like That
(yea)
You Like That
(yea)
Oh Oh Oh!
I love to lay lay this next to

The official YouTube channel of Atlantic Records artist Bazzi. Subscribe for the latest music videos, performances, and more.

#Bazzi #ILikeThat",True,True,75314679.0,0kWQn0wLok1lawHAkGSMW9,2022-09-16,2022-09-16
19005,Bazzi,https://open.spotify.com/artist/4GvEc3ANtPPjt1ZJllr5Zl,Beautiful,COSMIC,album,spotify:track:5TVirkSwFEXF1nLJEebe2I,0.666,0.677,2,-5.743,0.0326,0.214,0.0,0.0979,0.178,100.014,178242,https://www.youtube.com/watch?v=Uk1hv6h7O1Y,Bazzi feat. Camila Cabello - Beautiful [Official Music Video],Bazzi,199467012.0,2114050.0,40479.0,"I’m bringing the dream to you on tour😭I absolutely can’t wait to put this show on for you all - get ready for something special♾✨ ‘Infinite Dream’ out now!
https://bazzi.lnk.to/InfiniteDreamID
Download/Stream ""Young & Alive"": https://Bazzi.lnk.to/YoungAliveID

Download / stream BEAUTIFUL: https://Bazzi.lnk.to/BeautifulxCamilaAY 
COSMIC: https://Bazzi.lnk.to/COSMICAY

Directed by Jason Koenig https://www.instagram.com/jkoephoto/ 

Subscribe for more official content from Bazzi: https://Bazzi.lnk.to/Subscribe

Follow Bazzi
https://instagram.com/bazzi
https://www.tiktok.com/@bazziofficial?lang=en
https://twitter.com/bazzi
https://facebook.com/BazziWorldwide
https://soundcloud.com/bazziworldwide
http://bazziofficial.com

The official YouTube channel of Atlantic Records artist Bazzi. Subscribe for the latest music videos, performances, and more.",True,True,291540678.0,5TVirkSwFEXF1nLJEebe2I,2018-04-12,2018-04-12
19006,Bazzi,https://open.spotify.com/artist/4GvEc3ANtPPjt1ZJllr5Zl,Myself,COSMIC,album,spotify:track:5YLHLxoZsodDWjqSgjhBf3,0.745,0.561,9,-5.513,0.072,0.465,1.12e-06,0.0338,0.902,195.918,167553,https://www.youtube.com/watch?v=VgKjHh1Y-1Y,Bazzi - Myself [Official Music Video],Bazzi,58713649.0,1219703.0,14411.0,"I’m bringing the dream to you on tour😭I absolutely can’t wait to put this show on for you all - get ready for something special♾✨ ‘Infinite Dream’ out now!
https://bazzi.lnk.to/InfiniteDreamID
Download / Stream ""I Like That"": https://bazzi.lnk.to/ILikeThatPR

Buy / Stream COSMIC: https://Bazzi.lnk.to/COSMICID

Director: Daniel Henry

Lyrics: 
One, two, three, four
I think I'm losing my mind
Trying to stay inside the lines
It's like I'm running in place
How you keep staying the same?
Baby, I, I guess I'm something different
And I'm okay with that
I can't fake no more smiles
That shit gon' drive me mad
I'm focused on the future
Don't care 'bout nothin' else
Oh oh oh
I'm better by myself
I'm better by myself
I don't need no one else
I'm better by myself
Myself
Don't wanna answer questions
Just want your company
It's all good on the surface
Show me what's underneath
I'm not concerned with drama
I left that shit in school
I'm more concerned with commas
Than keeping up with you
Keep that away from me
I put the Heisman up to bad energy
No empathy, especially when the kid off Hennessy
Fake friends to me make my mood go south like Tennessee
Make the fool come out like, ""Who is he?""
I mean, I tried to tell y'all
I'm better by myself
I'm better by myself
I don't need no one else
I'm better by myself
Myself
Self
I don't know who to trust
These days everyone's shady
Fool me once, I'm on my own
There is no second time, baby
That's the shit I don't like
Please no yes, no maybes
What else?
I'm better by myself
I'm better by myself
I don't need no one else
I'm better by myself
Myself

The official YouTube channel of Atlantic Records artist Bazzi. Subscribe for the latest music videos, performances, and more.

Follow Bazzi
https://instagram.com/bazzi
https://www.tiktok.com/@bazziofficial?lang=en
https://twitter.com/bazzi
https://facebook.com/BazziWorldwide
https://soundcloud.com/bazziworldwide
http://bazziofficial.com

#Bazzi #Myself #IThinkImLosingMyMind",True,True,248613540.0,5YLHLxoZsodDWjqSgjhBf3,2018-04-12,2018-04-12
19007,Bazzi,https://open.spotify.com/artist/4GvEc3ANtPPjt1ZJllr5Zl,03:15,COSMIC,album,spotify:track:6pmZMP2ET1OJi5rKfLO8jD,0.651,0.654,1,-5.481,0.0466,0.385,0.0,0.181,0.539,141.975,167019,https://www.youtube.com/watch?v=xwIKpc7chs0,Bazzi - 3:15 [Official Music Video],Bazzi,12818856.0,178545.0,4436.0,"I’m bringing the dream to you on tour😭I absolutely can’t wait to put this show on for you all - get ready for something special♾✨ ‘Infinite Dream’ out now!
https://bazzi.lnk.to/InfiniteDreamID
Download/Stream ""Young & Alive"": https://Bazzi.lnk.to/YoungAliveID

Bazzi's debut album 'COSMIC' available now:
https://Bazzi.lnk.to/COSMICAY

Subscribe for more official content from Bazzi: https://Bazzi.lnk.to/Subscribe

Follow Bazzi
https://instagram.com/bazzi
https://www.tiktok.com/@bazziofficial?lang=en
https://twitter.com/bazzi
https://facebook.com/BazziWorldwide
https://soundcloud.com/bazziworldwide
http://bazziofficial.com",True,True,197304986.0,6pmZMP2ET1OJi5rKfLO8jD,2018-04-12,2018-04-12
19008,Soolking,https://open.spotify.com/artist/0GgY7hjMoGDsX8ZDe2mwds,Balader,Sans visa,album,spotify:track:6PrB4KpvuoYWtwjPC5a44S,0.603,0.802,4,-5.089,0.111,0.306,5.06e-05,0.124,0.787,130.121,176120,https://www.youtube.com/watch?v=A_1xb6-qKww,Soolking feat Niska - Balader [Clip Officiel],Soolking Officiel,76548422.0,545139.0,10634.0,"Extrait du nouvel album ""Sans Visa"" : https://soolking.lnk.to/SansVisa

Prod by MKL

Abonnez-vous à la chaîne: https://www.youtube.com/channel/UCz6JjQtnK9XjMwKuqlEkRxw?sub_confirmation=1

Rejoignez-moi sur les réseaux sociaux :

Facebook : http://bit.ly/2ApZ9nx
Instagram : http://bit.ly/2jinDYc
Twitter : http://bit.ly/2Bp2lj4
Snapchat : http://bit.ly/2BS3fSa

Producteurs : Hyper Focal & Affranchis Music

#Soolking #Niska #Balader",False,False,73948558.0,6PrB4KpvuoYWtwjPC5a44S,2022-05-26,2022-05-26
19009,Soolking,https://open.spotify.com/artist/0GgY7hjMoGDsX8ZDe2mwds,Suavemente,Sans visa,album,spotify:track:6Qe7YCkIOc1iaw9HKqO3qV,0.862,0.696,0,-4.519,0.0538,0.326,0.00467,0.0418,0.519,140.018,159360,https://www.youtube.com/watch?v=sLfqapBIqME,Soolking - Suavemente [Clip Officiel],Soolking Officiel,196768035.0,1463225.0,31249.0,"Ecouter ""Suavemente"" : https://soolking.lnk.to/Suavemente

Prod by Voluptyk & Scar Productions
Real : Soolking & Digital Nak

Abonnez-vous à la chaîne: https://www.youtube.com/channel/UCz6JjQtnK9XjMwKuqlEkRxw?sub_confirmation=1

Rejoignez-moi sur les réseaux sociaux :

Facebook : http://bit.ly/2ApZ9nx
Instagram : http://bit.ly/2jinDYc
Twitter : http://bit.ly/2Bp2lj4
Snapchat : http://bit.ly/2BS3fSa

Producteurs : Hyper Focal & Affranchis Music

#Soolking #Suavemente",False,False,100527441.0,6Qe7YCkIOc1iaw9HKqO3qV,2022-05-26,2022-05-26
19010,Soolking,https://open.spotify.com/artist/0GgY7hjMoGDsX8ZDe2mwds,Suavemente,Suavemente,single,spotify:track:7Bz5B6hEU5TS145QYTfc3k,0.854,0.682,7,-5.212,0.053,0.335,0.000926,0.0569,0.507,140.019,157714,https://www.youtube.com/watch?v=sLfqapBIqME,Soolking - Suavemente [Clip Officiel],Soolking Officiel,196768035.0,1463225.0,31249.0,"Ecouter ""Suavemente"" : https://soolking.lnk.to/Suavemente

Prod by Voluptyk & Scar Productions
Real : Soolking & Digital Nak

Abonnez-vous à la chaîne: https://www.youtube.com/channel/UCz6JjQtnK9XjMwKuqlEkRxw?sub_confirmation=1

Rejoignez-moi sur les réseaux sociaux :

Facebook : http://bit.ly/2ApZ9nx
Instagram : http://bit.ly/2jinDYc
Twitter : http://bit.ly/2Bp2lj4
Snapchat : http://bit.ly/2BS3fSa

Producteurs : Hyper Focal & Affranchis Music

#Soolking #Suavemente",False,False,33799266.0,7Bz5B6hEU5TS145QYTfc3k,2022-04-21,2022-04-21
