spotify_track_id,release_date_raw
0d28khcov6AiegSCpG5TuT,2005-05-23
1foMv2HQwfQ2vntFf9HFeG,2010-03-03
64dLd6rVqDLtkXFYrEUHIU,2022-08-31
0q6LuUqGLUiCPP1cbdwFs3,2010-03-03
7yMiX7n9SBvadzox8T5jzT,2001
4Hff1IjRbLGeLgFgxvHflk,2005-05-23
2c3KCGq6UojB2c8UAFrRON,2022-11-18
3lIxtCaROdRDuTnNBDm3n2,2017-04-28
2W3ZpQg9i6lE6kmHbcdu9N,2022-06-22
2bfGNzdiRa1jXZRdfssSzR,2005-05-23
48UPSzbZjgc449aqz8bxox,1999-06-08
3d9DChrdc6BOeFsbrZ3Is0,1991-09-24
3ZOEytgrvLwQaqXreDs2Jx,2002-07-09
1G391cbiT3v3Cywg8T7DM1,1999-06-08
64BbK9SFKH2jk86U3dGj2P,1999-06-08
2aibwv5hGXSgw7Yru8IYTO,2006-05-09
10Nmj3JCNoMeBQ87uw5j8k,2006-05-09
1f2V8U1BiWaC9aJWmpOARe,2002-07-09
0uppYCG86ajpV2hSR3dJJ0,1991-09-24
2oaK4JLVnmRGIO9ytBE1bt,2016-06-17
4RY96Asd9IefaL3X4LOLZ8,2003-02-06
5D2mYZuzcgjpchVY1pmTPh,2005-03-03
4nva9EpKntUTs6CRSGBCn9,2005-03-03
2D1hlMwWWXpkc3CZJ5U351,2003-02-06
2I9foKseoFQh07p6sD2voE,2003-02-06
69bHJ9qs5FrUJbKP8xU8uZ,2005-03-03
41bIQPBE1lFN0mmw6Lmssz,2003-02-06
7rK0iM6jwuo1oizdx8suQA,2022-08-05
7JeKXMQKm6GoLGTkNy2jZ0,2003-02-06
1wI3UvluGGKUeFeVFsP9do,2006-01-01
3VqHuw0wFlIHcIPWkhIbdQ,1991-08-12
2CtemffYhT0DJWcT1XW047,1991-08-12
54bm2e3tk8cliUz3VSdCPZ,1986-03-03
3ZpWy5rBZv2aLQAldnmTsP,1998-11-24
7lwvxYumAEo10lzAplRGXM,1991-08-12
0LAcM6I7ijW4VVW0aytl1t,1988-09-07
51YZAJhOwIC5Gg3jMbAmhZ,1984-07-27
3pwmJJRlr8nXNN9PFD18np,2022-11-28
5UaDi8KzCGJqFfVAOBfXhi,1991-08-12
6ZCh9hBeFzMIPycRnyPqZT,2023-01-19
3AJwUDP919kvQ9QcozQPxg,2000-07-10
1mea3bSkSGXuIRvnydlB5b,2008-06-06
7D0RhFcb3CrfPuTJ0obrod,2000-07-10
6RUKPb4LETWmmr3iAEQktW,2017-04-07
75JFxkI2RXiU7L9VXzMkle,2002-08-27
0FDzzruyVECATHXKHFs9eJ,2014-05-16
6nek1Nin9q48AVZcWs9e9D,2011-10-24
3RiPr603aXAoi4GHyXx0uy,2015-12-04
46HNZY1i7O6jwTA7Slo2PI,2021-10-15
7LVHVU3tWfcxj5aiPFEW4Q,2005-06-07
2Foc5Q5nqNiosCNqttzHof,2013-04-19
0DiWol3AO6WpXZgp0goxAV,2001-03-12
2cGxRwrMyEAp8dEbuZaVv6,2013-05-20
69kOkLUCkxIZYexIgSG8rq,2013-05-20
1pKYYY0dkg23sQQXi0Q5zN,1997-01-17
5W3cjX2J3tjhG8zb6u0qHn,2001-03-12
1NeLwFETswx8Fzxl2AFl91,2001-03-12
5CMjjywI0eZMixPeqNd75R,2013-05-20
2LD2gT7gwAurzdQDQtILds,2001-03-12
2VEZx7NWsZ1D0eJ4uv5Fym,2001-03-12
60a0Rd6pjrkxjPbaKzXjfq,2000-10-24
2nLtzopw4rPReszdYBJU6h,2003-03-25
18lR4BzEs7e3qzc0KVkTpU,2007-05-14
5sNESr6pQfIhL3krM8CtZn,2004-11-30
3K4HG9evC7dg3N0R9cYqk4,2000-10-24
4Yf5bqU3NK4kNOypcrLYwU,2003-03-25
0UFDKFqW2oGspYeYqo9wjA,2007-05-14
1Vej0qeQ3ioKwpI6FUbRv1,2000-10-24
57BrRMwf9LrcmuOsyGilwr,2000-10-24
7oVEtyuv9NBmnytsCIsY5I,2012-06-19
70LcF31zb1H0PyJoS1Sx1r,1993-02-22
10nyNJ6zNy2YVYLrcwLccB,1997-05-28
63OQupATfueTdZMWTxW03A,1997-05-28
2a1iMaoWQ5MnvLFBDv4qkf,1995-03-13
0z1o5L7HJx562xZSATcIpY,1997-05-28
4wajJ1o7jWIg62YqpkHC7S,2007-12-28
0YJ9FWWHn9EfnN0lHwbzvV,2007-12-28
73CKjW3vsUXRpy3NnX4H7F,1995-03-13
1dyTcli07c77mtQK3ahUZR,1995-03-13
35YyxFpE0ZTOoqFx5bADW8,2007-12-28
2zYzyRzz6pRmhPzyfMEC8s,1979-07-27
57bgtoPSgt236HzfBOd8kj,1990-09-24
08mG3Y1vljYA6bvDt4Wqkj,1980-07-25
